label,value
CommonStockSharesIssued,"7,638,223,000"
DeferredTaxAssetsValuationAllowance,"3,197,658,000"
AccountsReceivableNetCurrent,"695,655,000"
OperatingLeaseWeightedAverageDiscountRatePercent,0
DividendsPayableCurrentAndNoncurrent,0
OtherAccruedLiabilitiesCurrent,"168,154,000"
MarketableSecurities,"234,153,000"
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,"99,033,000"
PropertyPlantAndEquipmentGross,"438,348,000"
RestrictedCashNoncurrent,"389,859,000"
OperatingLeaseLiabilityNoncurrent,"449,946,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"338,619,000"
OtherAssetsNoncurrent,"203,307,000"
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"7,163,857,000"
EquitySecuritiesFvNiCost,"609,000,000"
PrepaidExpenseAndOtherAssetsCurrent,"162,761,000"
AssetsCurrent,"5,120,679,000"
PreferredStockSharesAuthorized,"2,000,000,000"
TreasuryStockShares,"27,030,000"
AssetsFairValueDisclosure,"3,886,484,000"
AllowanceForDoubtfulAccountsReceivableCurrent,0
StockholdersEquity,"188,070,000"
CashAndCashEquivalentsAtCarryingValue,"5,381,151,000"
AdditionalPaidInCapital,"14,265,942,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,"885,719"
AccountsPayableCurrent,"91,265,000"
RetainedEarningsAccumulatedDeficit,"-10,451,087,000"
MoneyMarketFundsAtCarryingValue,"1,583,100,000"
OperatingLeaseRightOfUseAsset,"433,973,000"
SaleOfStockPricePerShare,4
Assets,"5,937,954,000"
AccruedLiabilitiesCurrent,"314,352,000"
CertificatesOfDepositAtCarryingValue,"125,989,000"
PreferredStockParOrStatedValuePerShare,0
SharePrice,13
CommonStockSharesOutstanding,"7,638,223,000"
RevenueRemainingPerformanceObligation,"1,100,000,000"
DeferredTaxLiabilitiesLeasingArrangements,"117,330,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,"12,978,930,000"
MarketableSecuritiesCurrent,"234,153,000"
LesseeOperatingLeaseLiabilityPaymentsDue,"323,062,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,13
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"172,400,000"
DeferredTaxAssetsGross,"3,336,715,000"
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"53,258,000"
DeferredTaxAssetsOperatingLossCarryforwards,"2,351,635,000"
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-5,094,000"
PropertyPlantAndEquipmentNet,"121,690,000"
LineOfCreditFacilityMaximumBorrowingCapacity,"400,000,000"
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,"158,329,000"
RestrictedCashCurrent,"126,012,000"
UnrecognizedTaxBenefits,"200,141,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,"44,025,000"
DeferredTaxAssetsPropertyPlantAndEquipment,"64,146,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,"42,163,000"
CommonStockValue,"3,819,000"
OperatingLeaseLiability,"518,952,000"
EmployeeRelatedLiabilitiesCurrent,"146,198,000"
PreferredStockValue,0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,"169,563"
DeferredRevenueCurrent,"417,336,000"
DeferredRevenueNoncurrent,"90,742,000"
SharesOutstanding,"4,950,479,000"
RevenueRemainingPerformanceObligationPercentage,0
LiabilitiesAndStockholdersEquity,"5,937,954,000"
CommonStockParOrStatedValuePerShare,0
LongTermDebtNoncurrent,"197,977,000"
CommonStockSharesAuthorized,"45,402,010,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,"2,223,706,000"
ContractWithCustomerLiability,"995,200,000"
OperatingLeaseLiabilityCurrent,"69,006,000"
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"1,811,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,16
DeferredTaxAssetsNet,"41,272,000"
PreferredStockSharesOutstanding,"2,000,000,000"
OtherLiabilitiesNoncurrent,"6,613,000"
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"62,989,000"
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"458,543,000"
DeferredTaxAssetsTaxCreditCarryforwards,"246,028,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,"54,206,000"
PreferredStockSharesIssued,"2,000,000,000"
Liabilities,"2,124,374,000"
LettersOfCreditOutstandingAmount,"193,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,5
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"92,365,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,"37,045,000"
LiabilitiesCurrent,"1,263,884,000"
CommitmentsAndContingencies,
DebtInstrumentCarryingAmount,0
LineOfCreditFacilityRemainingBorrowingCapacity,"400,000,000"
