label,value,category,prediction_confidence
RestrictedCashAndCashEquivalentsNoncurrent,"1,357,000,000",current assets,0.2959738515176386
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"116,910,000,000",current assets,0.3480917848568861
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"121,591,000,000",current assets,0.3480917848568861
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"121,591,000,000",current assets,0.3480917848568861
CashAndCashEquivalentsAtCarryingValue,"136,115,000,000",current assets,0.3262587691663189
CashAndCashEquivalentsAtCarryingValue,"136,115,000,000",current assets,0.3262587691663189
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"136,215,000,000",current assets,0.3480917848568861
EquitySecuritiesFvNiCost,"14,488,000,000",current assets,0.3405603654165747
EquitySecuritiesFvNiCost,"14,488,000,000",current assets,0.3405603654165747
EquitySecuritiesFvNiCurrentAndNoncurrent,"15,042,000,000",current assets,0.2827596208669162
EquitySecuritiesFvNiCurrentAndNoncurrent,"15,042,000,000",current assets,0.2827596208669162
MarketableSecuritiesCurrent,"160,502,000,000",current assets,0.25704297451642055
MarketableSecuritiesCurrent,"160,502,000,000",current assets,0.25704297451642055
CashAndCashEquivalentsAtCarryingValue,"176,512,000,000",current assets,0.3262587691663189
MarketableSecuritiesCurrent,"209,280,000,000",current assets,0.25704297451642055
CashAndCashEquivalentsAtCarryingValue,"212,535,000,000",current assets,0.3262587691663189
MarketableSecuritiesCurrent,"223,907,000,000",current assets,0.25704297451642055
RestrictedCashAndCashEquivalentsAtCarryingValue,"23,000,000",current assets,0.33683475299273935
OtherAssetsCurrent,"23,616,000,000",current assets,0.30622838760663945
OtherAssetsCurrent,"24,439,000,000",current assets,0.30622838760663945
OtherAssetsCurrent,"28,872,000,000",current assets,0.30622838760663945
OtherAssetsCurrent,"28,872,000,000",current assets,0.30622838760663945
AssetsCurrent,"294,158,000,000",current assets,0.3189388544561074
RestrictedCashAndCashEquivalentsNoncurrent,"3,094,000,000",current assets,0.2959738515176386
AssetsCurrent,"300,944,000,000",current assets,0.3189388544561074
AssetsCurrent,"300,944,000,000",current assets,0.3189388544561074
AssetsCurrent,"306,532,000,000",current assets,0.3189388544561074
AccountsReceivableNetCurrent,"39,046,000,000",current assets,0.30089772546510163
AccountsReceivableNetCurrent,"46,112,000,000",current assets,0.30089772546510163
Cash,"55,466,000,000",current assets,0.1821843238747551
Cash,"55,466,000,000",current assets,0.1821843238747551
RestrictedCashAndCashEquivalentsAtCarryingValue,"59,000,000",current assets,0.33683475299273935
AccountsReceivableNetCurrent,"73,187,000,000",current assets,0.30089772546510163
AccountsReceivableNetCurrent,"73,187,000,000",current assets,0.30089772546510163
FinanceLeaseLiabilityPaymentsDue,"1,090,000,000",current liabilities,0.3162797705371618
DeferredTaxLiabilitiesOther,"1,133,000,000",current liabilities,0.21875054620019438
DeferredTaxLiabilitiesOther,"1,133,000,000",current liabilities,0.21875054620019438
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"1,162,000,000",current liabilities,0.29021319204753965
FinanceLeaseLiability,"1,230,000,000",current liabilities,0.2674770845998172
FinanceLeaseLiability,"1,230,000,000",current liabilities,0.2674770845998172
DeferredTaxLiabilitiesOther,"1,305,000,000",current liabilities,0.21875054620019438
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"1,306,000,000",current liabilities,0.29021319204753965
OperatingLeasesFutureMinimumPaymentsDueCurrent,"1,306,000,000",current liabilities,0.2728510339160886
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"1,306,000,000",current liabilities,0.29021319204753965
OperatingLeaseLiabilityCurrent,"1,436,000,000",current liabilities,0.4112220556679313
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,493,000,000",current liabilities,0.38367035285414236
FinanceLeaseLiabilityPaymentsDue,"1,579,000,000",current liabilities,0.3162797705371618
FinanceLeaseLiabilityPaymentsDue,"1,579,000,000",current liabilities,0.3162797705371618
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,700,000,000",current liabilities,0.2930805999443888
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,859,000,000",current liabilities,0.2930805999443888
DeferredTaxLiabilitiesLeasingArrangements,"1,862,000,000",current liabilities,0.2062234986098175
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,967,000,000",current liabilities,0.38367035285414236
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,967,000,000",current liabilities,0.38367035285414236
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,981,000,000",current liabilities,0.2930805999443888
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,981,000,000",current liabilities,0.2930805999443888
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"10,270,000,000",current liabilities,0.2633346637845105
AccountsPayableCurrent,"102,124,000,000",current liabilities,0.3670953295654334
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,"104,000,000",current liabilities,0.29455608191202065
ContractWithCustomerLiabilityCurrent,"11,488,000,000",current liabilities,0.47312370486854743
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears,"110,000,000",current liabilities,0.26112491015188927
ContractWithCustomerLiabilityCurrent,"12,165,000,000",current liabilities,0.47312370486854743
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"12,393,000,000",current liabilities,0.2633346637845105
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"12,393,000,000",current liabilities,0.2633346637845105
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"13,831,000,000",current liabilities,0.2850350274563473
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"13,831,000,000",current liabilities,0.2850350274563473
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears,"130,000,000",current liabilities,0.26112491015188927
AccountsPayableCurrent,"138,820,000,000",current liabilities,0.3670953295654334
AccountsPayableCurrent,"138,820,000,000",current liabilities,0.3670953295654334
OtherLiabilitiesCurrent,"144,691,000,000",current liabilities,0.4162538367932204
OtherLiabilitiesCurrent,"144,691,000,000",current liabilities,0.4162538367932204
ContractWithCustomerLiability,"16,900,000,000",current liabilities,0.3479539291919434
ContractWithCustomerLiabilityCurrent,"17,304,000,000",current liabilities,0.47312370486854743
ContractWithCustomerLiabilityCurrent,"17,304,000,000",current liabilities,0.47312370486854743
ContractWithCustomerLiability,"18,300,000,000",current liabilities,0.3479539291919434
LongTermDebtCurrent,"19,033,000,000",current liabilities,0.31773451383863927
LongTermDebtCurrent,"19,044,000,000",current liabilities,0.31773451383863927
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"2,386,000,000",current liabilities,0.2862045708650613
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"2,476,000,000",current liabilities,0.2928531118799449
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"2,885,000,000",current liabilities,0.2862045708650613
CommercialPaper,"21,976,000,000",current liabilities,0.33488846017730256
LiabilitiesCurrent,"211,110,000,000",current liabilities,0.5155903418028194
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,"218,000,000",current liabilities,0.29455608191202065
LiabilitiesCurrent,"221,647,000,000",current liabilities,0.5155903418028194
LongTermDebtCurrent,"23,262,000,000",current liabilities,0.31773451383863927
LongTermDebtCurrent,"23,262,000,000",current liabilities,0.31773451383863927
FinanceLeaseLiabilityCurrent,"24,000,000",current liabilities,0.4698137516729467
HedgedLiabilityFairValueHedge,"26,100,000,000",current liabilities,0.18906545440204703
HedgedLiabilityFairValueHedge,"26,100,000,000",current liabilities,0.18906545440204703
ContractWithCustomerLiability,"26,500,000,000",current liabilities,0.3479539291919434
ContractWithCustomerLiability,"26,500,000,000",current liabilities,0.3479539291919434
OperatingLeaseLiabilityCurrent,"3,067,000,000",current liabilities,0.4112220556679313
OperatingLeaseLiabilityCurrent,"3,067,000,000",current liabilities,0.4112220556679313
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"3,476,000,000",current liabilities,0.2928531118799449
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"3,708,000,000",current liabilities,0.2862045708650613
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"3,708,000,000",current liabilities,0.2862045708650613
LiabilitiesCurrent,"342,023,000,000",current liabilities,0.5155903418028194
LiabilitiesCurrent,"342,023,000,000",current liabilities,0.5155903418028194
CommercialPaper,"35,944,000,000",current liabilities,0.33488846017730256
CommercialPaper,"35,946,000,000",current liabilities,0.33488846017730256
CommercialPaper,"35,946,000,000",current liabilities,0.33488846017730256
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"357,000,000",current liabilities,0.29021319204753965
OtherAccruedLiabilitiesNoncurrent,"36,283,000,000",current liabilities,0.27027539811003315
AccruedIncomeTaxesCurrent,"39,617,000,000",current liabilities,0.3467264858122909
AccruedIncomeTaxesCurrent,"39,617,000,000",current liabilities,0.3467264858122909
DeferredTaxLiabilitiesLeasingArrangements,"4,425,000,000",current liabilities,0.2062234986098175
DeferredTaxLiabilitiesLeasingArrangements,"4,425,000,000",current liabilities,0.2062234986098175
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"4,752,000,000",current liabilities,0.2928531118799449
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"4,752,000,000",current liabilities,0.2928531118799449
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"43,000,000",current liabilities,0.43707684921841977
NontradeReceivablesCurrent,"44,203,000,000",current liabilities,0.2539494355236751
OtherAccruedLiabilitiesNoncurrent,"47,278,000,000",current liabilities,0.27027539811003315
NontradeReceivablesCurrent,"48,687,000,000",current liabilities,0.2539494355236751
Liabilities,"506,577,000,000",current liabilities,0.2630180750770318
Liabilities,"506,606,000,000",current liabilities,0.2630180750770318
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"563,000,000",current liabilities,0.43707684921841977
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"563,000,000",current liabilities,0.43707684921841977
Liabilities,"593,538,000,000",current liabilities,0.2630180750770318
Liabilities,"593,538,000,000",current liabilities,0.2630180750770318
