label,value,category,prediction_confidence
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122648
Cash,"9,681,000,000",current assets,0.1821843238747551
FinanceLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.1882463164627771
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255792
DerivativeCollateralRightToReclaimCash,0,noncurrent assets,0.20126104143699625
Land,"3,363,000,000",noncurrent assets,0.20540406029032413
DeferredTaxLiabilitiesLeasingArrangements,"4,327,000,000",current liabilities,0.2062234986098175
LeaseholdImprovementsGross,"10,803,000,000",noncurrent assets,0.20810372975164615
LiabilitiesAndStockholdersEquity,"587,867,000,000",equity,0.2085536395670679
DeferredTaxLiabilitiesTaxDeferredIncome,"30,000,000",noncurrent assets,0.20886646617444332
DerivativeCollateralObligationToReturnCash,"232,000,000",current liabilities,0.2121246424400084
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"3,834,000,000",noncurrent assets,0.21518824058296807
BuildingsAndImprovementsGross,"60,283,000,000",noncurrent assets,0.21577282164524966
DebtInstrumentInterestRateEffectivePercentage,0,noncurrent assets,0.21724175794670803
DeferredTaxAssetsLiabilitiesNet,"13,504,000,000",noncurrent assets,0.21771740279879429
DeferredTaxLiabilitiesOther,"635,000,000",current liabilities,0.21875054620019438
BusinessCombinationSeparatelyRecognizedTransactionsAdditionalDisclosuresAcquisitionCosts,"600,000,000",noncurrent assets,0.21923303892177723
DebtInstrumentInterestRateStatedPercentage,0,noncurrent assets,0.22146303403408563
LossContingencyRangeOfPossibleLossPortionNotAccrued,"500,000,000",current liabilities,0.22405129192443865
DeferredIncomeTaxLiabilities,"13,560,000,000",noncurrent assets,0.2284871448425961
DeferredIncomeTaxLiabilitiesNet,"437,000,000",noncurrent assets,0.22938360765590676
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"2,750,000,000",noncurrent assets,0.22991487195320032
InventoryNet,"3,958,000,000",noncurrent assets,0.2321675763991018
DerivativeFairValueOfDerivativeAsset,"646,000,000",subtotal assets,0.2327498294257802
InventoryWorkInProcessNetOfReserves,"136,000,000",noncurrent assets,0.2332343547389929
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"7,966,000,000",noncurrent assets,0.233997581090658
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"5,250,000,000",noncurrent assets,0.2342704696873237
DerivativeAssetFairValueGrossAssetIncludingNotSubjectToMasterNettingArrangement,"1,949,000,000",subtotal assets,0.23595243337472233
FurnitureAndFixturesGross,"9,622,000,000",noncurrent assets,0.2397854028192902
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"2,250,000,000",noncurrent assets,0.2409980007919309
DerivativeAssetFairValueGrossLiability,"267,000,000",subtotal assets,0.24125375793995402
InventoryRawMaterialsNetOfReserves,"1,099,000,000",noncurrent assets,0.24175896053873014
AccountsReceivableNetNoncurrent,"4,900,000,000",current assets,0.24265957178940473
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"867,000,000",noncurrent assets,0.24288726468584437
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"45,441,000,000",noncurrent assets,0.24759741313292158
FiniteLivedIntangibleAssetsGross,"69,796,000,000",noncurrent assets,0.2511575111379342
Assets,"587,867,000,000",noncurrent assets,0.2516138023162774
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,"1,483,000,000",noncurrent assets,0.2522286169438607
DebtInstrumentFaceAmount,"90,800,000,000",noncurrent assets,0.252969249228407
LongTermDebt,"135,505,000,000",noncurrent liabilities,0.25583497731104876
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,"5,008,000,000",noncurrent assets,0.25805067160862816
OperatingLeaseLiability,"33,980,000,000",subtotal liabilities,0.26117218266112907
Liabilities,"367,233,000,000",current liabilities,0.2630180750770318
InventoryFinishedGoodsNetOfReserves,"2,723,000,000",noncurrent assets,0.26309599510414566
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"3,750,000,000",current liabilities,0.2633346637845105
DebtInstrumentCarryingAmount,"278,726,000,000",noncurrent liabilities,0.26339678087902124
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,"6,924,000,000",noncurrent assets,0.2640569558256255
DeferredTaxAssetsGross,"31,033,000,000",noncurrent assets,0.26596791326394525
FinanceLeaseLiability,"32,140,000,000",current liabilities,0.2674770845998172
DeferredTaxAssetsOther,"721,000,000",noncurrent assets,0.27051294187881797
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"2,846,000,000",equity,0.272257582398104
DeferredTaxAssetsValuationAllowance,"3,969,000,000",noncurrent assets,0.27329575822615665
RetainedEarningsAccumulatedDeficit,"58,716,000,000",equity,0.27560619568769934
