label,value,category,prediction_confidence
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122662
FinanceLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.18824631646277723
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255803
DeferredTaxLiabilitiesLeasingArrangements,"5,708,000,000",current liabilities,0.20622349860981753
LiabilitiesAndStockholdersEquity,"505,677,000,000",equity,0.20855363956706777
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"82,210,000,000",current liabilities,0.21129727799776166
DeferredTaxAssetsLiabilitiesNet,"14,442,000,000",noncurrent assets,0.21771740279879448
AdditionalPaidInCapital,"156,481,000,000",equity,0.22078173640604373
DeferredTaxAssetsOperatingLossCarryforwards,"642,000,000",noncurrent assets,0.22155670797530402
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"34,790,000,000",noncurrent assets,0.226044973951898
DeferredIncomeTaxLiabilities,"24,987,000,000",noncurrent assets,0.22848714484259625
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"2,750,000,000",noncurrent assets,0.2299148719532004
IncomeTaxExaminationPenaltiesAndInterestAccrued,"4,760,000,000",noncurrent assets,0.23120834487121766
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"1,500,000,000",noncurrent assets,0.23427046968732396
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,"4,391,000,000",current liabilities,0.24084169044279277
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"1,000,000,000",noncurrent assets,0.24099800079193096
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,"-3,900,000,000",equity,0.24185682825801638
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"979,000,000",noncurrent assets,0.24288726468584448
ContractualObligationDueAfterFifthYear,"2,749,000,000",current liabilities,0.2444702755253073
DeferredTaxAssetsTaxCreditCarryforwards,"4,799,000,000",noncurrent assets,0.2469439853506457
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"23,750,000,000",noncurrent assets,0.24759741313292147
FiniteLivedIntangibleAssetsGross,"3,522,000,000",noncurrent assets,0.2511575111379344
Assets,"505,677,000,000",noncurrent assets,0.25161380231627756
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,"205,000,000",noncurrent assets,0.25222861694386084
ContractualObligationDueInSecondYear,"2,548,000,000",current liabilities,0.25391851879285016
LongTermDebt,"47,211,000,000",noncurrent liabilities,0.25583497731104865
ContractualObligationDueInFourthYear,"227,000,000",current liabilities,0.2565987060014851
MarketableSecuritiesCurrent,"114,934,000,000",current assets,0.2570429745164205
OperatingLeaseLiability,"20,234,000,000",subtotal liabilities,0.2611721826611293
ContractualObligationDueInThirdYear,"812,000,000",current liabilities,0.2618553911679188
Liabilities,"169,872,000,000",current liabilities,0.26301807507703184
DebtInstrumentCarryingAmount,"76,500,000,000",noncurrent liabilities,0.2633967808790211
ContractualObligationDueInFifthYear,"153,000,000",current liabilities,0.2635081854646586
DeferredTaxAssetsGross,"45,814,000,000",noncurrent assets,0.2659679132639454
DeferredTaxLiabilitiesPropertyPlantAndEquipment,"19,279,000,000",noncurrent assets,0.26636800127133303
FinanceLeaseLiability,"709,000,000",current liabilities,0.2674770845998172
DeferredTaxAssetsOther,"929,000,000",noncurrent assets,0.27051294187881814
PrepaidExpenseAndOtherAssetsCurrent,"9,029,000,000",current assets,0.2711432550162011
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-5,252,000,000",equity,0.27225758239810394
DeferredTaxAssetsValuationAllowance,"12,775,000,000",noncurrent assets,0.27329575822615687
RetainedEarningsAccumulatedDeficit,"184,576,000,000",equity,0.2756061956876992
AssetsFairValueDisclosure,"263,873,000,000",noncurrent assets,0.2767342328717684
FiniteLivedIntangibleAssetsNet,"1,706,000,000",noncurrent assets,0.2837869083327087
AccruedIncomeTaxesNoncurrent,"17,501,000,000",noncurrent liabilities,0.2842675489968575
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"34,120,000,000",current liabilities,0.28503502745634735
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,"22,676,000,000",noncurrent assets,0.28729162353842613
StockholdersEquity,"1,172,794,000,000",equity,0.2881096999224521
LongTermDebtFairValue,"46,310,000,000",noncurrent liabilities,0.2886147553762193
CashAndCashEquivalentsFairValueDisclosure,"216,804,000,000",current assets,0.2891247895949471
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,"64,000,000",noncurrent assets,0.28929854908367614
RestrictedCashAndCashEquivalentsNoncurrent,"2,683,000,000",current assets,0.29597385151763855
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,"38,000,000",noncurrent assets,0.2972361774003477
DeferredTaxAssetsNet,"39,429,000,000",noncurrent assets,0.29819162150036416
ContractualObligation,"65,644,000,000",current liabilities,0.29837698441455524
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,"125,000,000",noncurrent assets,0.29950708291700295
