label,value
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss,"1,121,000,000"
OtherAssetsCurrent,"31,734,000,000"
CashAndCashEquivalentsAtCarryingValue,"44,502,000,000"
DerivativeFairValueOfDerivativeAsset,"3,000,000,000"
LongTermDebtFairValue,"30,900,000,000"
OperatingLeaseLiabilityCurrent,"5,894,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,"804,000,000"
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,"10,032,000,000"
EquityMethodInvestments,"4,300,000,000"
DerivativeLiabilityFairValueAfterOffsetAndDeductionSubjectToMasterNettingArrangement,"1,033,000,000"
OperatingLeaseLiabilityNoncurrent,"23,643,000,000"
AccruedIncomeTaxesCurrent,"3,691,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,"21,711,000,000"
FinanceLeaseLiabilityPaymentsDueYearTwo,"301,000,000"
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-6,927,000,000"
DerivativeAssetFairValueAfterOffsetAndDeductionSubjectToMasterNettingArrangement,"742,000,000"
FinanceLeaseWeightedAverageDiscountRatePercent,0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,"26,646,000,000"
DerivativeLiabilities,"2,370,000,000"
StockholdersEquity,"688,000,000,000"
FinanceLeaseLiability,"3,779,000,000"
DerivativeFairValueOfDerivativeLiability,"2,539,000,000"
DeferredIncomeTaxAssetsNet,"36,469,000,000"
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,"135,165,000,000"
CommercialPaper,"5,300,000,000"
CashCashEquivalentsAndShortTermInvestments,"190,805,000,000"
AccountsPayableCurrent,"16,334,000,000"
OperatingLeaseLiability,"29,537,000,000"
PurchaseObligation,"8,200,000,000"
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"21,000,000,000"
MarketableSecuritiesCurrent,"146,303,000,000"
CommissionsPayableToBrokerDealersAndClearingOrganizations,"6,978,000,000"
RetainedEarningsAccumulatedDeficit,"520,844,000,000"
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,"11,846,000,000"
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount,"55,500,000,000"
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,"-414,000,000"
LossContingencyAccrualCarryingValueCurrent,"13,421,000,000"
DerivativeLiabilityFairValueGrossAsset,"169,000,000"
FinanceLeaseLiabilityNoncurrent,"3,444,000,000"
PreferredStockSharesIssued,0
ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,0
LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,"2,095,000,000"
OtherAssetsNoncurrent,"29,027,000,000"
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"44,502,000,000"
CommitmentsAndContingencies,
DerivativeAssetFairValueGrossLiability,"169,000,000"
PreferredStockSharesOutstanding,0
AccountsReceivableNetCurrent,"107,388,000,000"
OtherLongTermInvestments,"90,556,000,000"
FinanceLeaseRightOfUseAssetAccumulatedAmortization,"4,246,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,"1,630,000,000"
DerivativeLiabilityNotOffsetPolicyElectionDeduction,"1,296,000,000"
ContractWithCustomerLiability,"12,800,000,000"
NoncontrollingInterestInVariableInterestEntity,"8,500,000,000"
OperatingLeaseRightOfUseAsset,"27,843,000,000"
OperatingLeaseWeightedAverageDiscountRatePercent,0
CommonStockSharesOutstanding,"24,315,000,000"
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,"374,267,000,000"
FinanceLeaseLiabilityUndiscountedExcessAmount,"528,000,000"
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,"5,930,000,000"
Goodwill,"64,220,000,000"
FinanceLeaseLiabilityPaymentsDueYearFour,"268,000,000"
CommonStockParOrStatedValuePerShare,0
LongTermDebtCurrent,"1,999,000,000"
AssetsCurrent,"329,927,000,000"
DerivativeLiabilityAfterOffsetSubjectToMasterNettingArrangement,"2,370,000,000"
DebtSecuritiesAvailableForSaleUnrealizedLossPosition,"48,357,000,000"
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"299,000,000"
EquitySecuritiesFvNiCost,"9,190,000,000"
EquitySecuritiesFvNi,"11,054,000,000"
FinanceLeaseLiabilityCurrent,"335,000,000"
CommonStocksIncludingAdditionalPaidInCapital,"174,083,000,000"
DerivativeAssetAfterOffsetSubjectToMasterNettingArrangement,"2,831,000,000"
Liabilities,"264,309,000,000"
FinanceLeaseLiabilityPaymentsDue,"2,630,000,000"
AvailableForSaleSecuritiesDebtSecurities,"68,147,000,000"
PreferredStockSharesAuthorized,"100,000,000"
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,"168,739,000,000"
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount,"17,500,000,000"
CommonStockSharesAuthorized,"300,000,000,000"
LiabilitiesCurrent,"176,432,000,000"
EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue,"96,419,000,000"
DebtInstrumentCarryingAmount,"36,903,000,000"
DerivativeAssets,"2,831,000,000"
FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear,"162,000,000"
OtherLiabilitiesNoncurrent,"10,935,000,000"
LiabilitiesAndStockholdersEquity,"952,309,000,000"
AccruedIncomeTaxesNoncurrent,"18,809,000,000"
DerivativeAssetNotOffsetPolicyElectionDeduction,"1,296,000,000"
PreferredStockParOrStatedValuePerShare,0
NoncurrentAssets,"402,110,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,"2,549,000,000"
CommonStockSharesIssued,"24,315,000,000"
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,"13,235,000,000"
Assets,"952,309,000,000"
UnrecognizedTaxBenefits,"25,500,000,000"
EmployeeRelatedLiabilitiesCurrent,"27,237,000,000"
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,"37,136,000,000"
AllowanceForDoubtfulAccountsReceivable,"1,757,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,"317,000,000"
FinanceLeaseRightOfUseAsset,"5,786,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"3,078,000,000"
ContractWithCustomerLiabilityCurrent,"10,005,000,000"
AccruedLiabilitiesCurrent,"103,267,000,000"
LongTermDebtNoncurrent,"34,490,000,000"
OtherAccruedLiabilitiesCurrent,"56,704,000,000"
FinanceLeaseLiabilityPaymentsDueYearThree,"290,000,000"
ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months,"-767,000,000"
MarketableSecuritiesNoncurrent,"266,000,000"
LesseeOperatingLeaseLiabilityPaymentsDue,"17,429,000,000"
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"2,470,000,000"
RevenueRemainingPerformanceObligation,"108,200,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,"2,042,000,000"
